P-296,-1,"[-1, -1, -1]","[93, 92, 81]",50,60,-1,Economy
P-158,-1,"[-1, -1, -1]","[107, 95, 72]",135,61,-1,Economy
P-196,-1,"[-1, -1, -1]","[107, 66, 64]",85,60,-1,Economy
P-111,-1,"[-1, -1, -1]","[103, 65, 62]",27,60,-1,Economy
P-74,-1,"[-1, -1, -1]","[87, 73, 69]",115,61,-1,Economy
P-64,-1,"[-1, -1, -1]","[104, 100, 56]",123,62,-1,Economy
P-90,-1,"[-1, -1, -1]","[102, 98, 44]",119,60,-1,Economy
P-38,-1,"[-1, -1, -1]","[96, 84, 48]",21,60,-1,Economy
P-389,-1,"[-1, -1, -1]","[95, 72, 49]",55,61,-1,Economy
P-290,-1,"[0, 235, 160]","[80, 69, 46]",23,64,5,Economy
P-355,-1,"[53, 236, 0]","[45, 52, 60]",42,72,-1,Economy
P-203,-1,"[54, 192, 143]","[106, 93, 68]",52,63,5,Economy
P-292,-1,"[54, 192, 143]","[100, 93, 63]",46,66,5,Economy
P-95,-1,"[54, 192, 143]","[91, 89, 69]",68,73,5,Economy
P-392,-1,"[54, 192, 143]","[87, 63, 40]",59,74,5,Economy
P-245,-1,"[54, 192, 143]","[105, 80, 53]",61,67,5,Economy
P-51,-1,"[54, 192, 143]","[97, 86, 57]",65,67,5,Economy
P-13,-1,"[54, 192, 143]","[94, 87, 55]",41,73,5,Economy
P-67,-1,"[54, 192, 143]","[101, 76, 57]",34,65,5,Economy
P-328,-1,"[54, 192, 155]","[82, 78, 50]",57,72,5,Economy
P-96,-1,"[54, 192, 155]","[84, 65, 50]",40,68,5,Economy
P-294,-1,"[54, 192, 155]","[93, 88, 44]",30,69,5,Economy
P-210,-1,"[54, 192, 155]","[93, 88, 45]",64,67,5,Economy
P-311,-1,"[54, 192, 155]","[101, 79, 43]",26,69,5,Economy
P-141,-1,"[54, 192, 155]","[87, 70, 43]",34,70,5,Economy
P-182,-1,"[54, 192, 155]","[78, 70, 45]",42,65,5,Economy
P-85,-1,"[90, 267, 131]","[44, 47, 68]",42,74,-1,Economy
P-153,-1,"[91, 175, 0]","[51, 62, 64]",59,62,-1,Economy
P-14,-1,"[93, 234, 0]","[81, 46, 45]",27,68,-1,Economy
P-119,-1,"[108, 191, 195]","[79, 104, 41]",25,61,-1,Economy
